;idigbio_coreid;key_scientificName;gbif_key;gbif_scientificName;gbif_status;gbif_rank
5;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;cordia aspera g. forst.;;;;
6;e998d643-60d6-4fb0-843f-161993357a22;celastraceae r. br.;;;;
7;7e6f664e-8156-4715-98e7-a214dbbd8d4f;grammitidaceae newman;;;;
9;5ea8b8bf-54e6-4f52-94bf-69a084a9ca26;syzygium p. browne ex gaertn.;;;;
10;3d94f19d-0fa8-4c11-902e-ec33065518ee;syzygium p. browne ex gaertn.;;;;
11;e00935cc-e00e-49ab-a4ec-50a686189a15;claoxylon a. juss.;;;;
16;b3eed40d-0b78-43f4-bd09-192f7d066178;vanda jones ex r. br.;;;;
21;a75f21b3-8db1-4f7a-b10a-ba331b191103;loganiaceae r. br. ex mart.;;;;
24;279d84f3-a55b-4ab9-b16a-21771a3f5115;orchidaceae juss.;;;;
25;271156fc-ad8c-458b-8a31-e8a939c2f0ab;lamiaceae martinov;;;;
26;f0a4db47-2f55-4328-ab35-57372418be1a;gesneriaceae rich. & juss.;;;;
32;305592d8-8ba0-497f-ad32-f25323efe95f;gardenia j. ellis;;;;
35;bdd89d25-9091-4bbc-aa89-08b9e6bf0cf5;euphorbiaceae juss.;;;;
41;2f6989c9-c3a9-452f-9199-8b7dd7fcc31d;urticaceae juss.;;;;
43;c06e5f3c-fe16-46bb-a813-2e08c42b9009;anacardiaceae r. br.;;;;
44;bcc409b0-308d-4787-90d4-d6d82072fd85;dipodium r. br.;;;;
46;4d08ef81-95b4-4d24-bc3f-af3278563612;gordonia j. ellis;;;;
48;8f88e057-9068-4fd8-88a1-0847c1cc2d27;syzygium p. browne ex gaertn.;;;;
49;4e54fc41-f4e3-4670-9d3f-5920e008f045;syzygium p. browne ex gaertn.;;;;
50;fb09c03c-9a83-4e3a-8438-c8d60f7db7a8;syzygium p. browne ex gaertn.;;;;
51;08234ac1-b65c-47f3-bb17-1ffa557e4359;cornopteris seramensis m. kato;;;;
52;bfeb031d-93e7-4caf-a1cd-3522ab388ac0;orchidaceae juss.;;;;
53;3c55416b-95ea-4906-9a75-20d5bc6d3854;orchidaceae juss.;;;;
55;b64344f6-5766-4b81-a8b4-2e5d19f3471f;syzygium p. browne ex gaertn.;;;;
56;87eec4a7-1596-4c62-86d0-1fd2aac9d0fe;alyxia banks ex r. br.;;;;
57;10ab7840-1d0f-4843-8b0a-81d4c5399327;cyrtandra sp. nov. ined. ex phillipson;;;;
58;989246ad-b309-4291-9cb4-d6ee0729ea85;gardenia j. ellis;;;;
63;6a7ecffe-7478-44cb-9045-aac975235e68;lindsaea carvifolia k.u. kramer;;;;
66;347d2b0e-5032-4ea0-a808-403f35731ec4;myrsine rawacensis a. dc.;;;;
68;50873e66-6c24-4a20-a3b2-e93d7eebfa84;rubiaceae juss.;;;;
69;3d8ea6a9-564f-4b9c-83ce-8c6d5f6951d9;apocynaceae juss.;;;;
70;e64b26d3-d210-4773-8b9b-47d3e1acbbba;arecaceae bercht. & j. presl;;;;
71;d7ef7387-5a52-4975-b261-29908d0f51cb;piperaceae giseke;;;;
72;7b5b8d8c-3ce3-4e46-8229-9b3213dafa66;orchidaceae juss.;;;;
73;c51f6c7a-f812-418b-82b8-9eef8e941854;orchidaceae juss.;;;;
79;1cebd781-ff0c-46c0-8beb-081626af79c7;phaleria coccinea (gaudich.) f. muell.;;;;
80;67cc5991-b248-4d30-a7cc-3ecf41c8cb26;syzygium p. browne ex gaertn.;;;;
81;d3fe529a-a9e5-4a7a-942b-7a9000245f37;syzygium p. browne ex gaertn.;;;;
82;19b2bb9c-c2ce-490b-9f41-2c62fc831350;syzygium p. browne ex gaertn.;;;;
85;0b1971ac-8103-44b4-8cc1-d08fe82e0716;glochidion j.r. forst. & g. forst.;;;;
88;a6cd17d5-efeb-44a7-bc2e-f5a4e2e54f7f;claoxylon a. juss.;;;;
94;32b27683-57e9-408d-96b8-6c7e8649a5cd;syzygium p. browne ex gaertn.;;;;
96;da0a3252-7f1c-4339-8811-8ef3d7256246;orchidaceae juss.;;;;
97;40cc4a88-51a6-4bb5-806f-cdad0a48b0a2;orchidaceae juss.;;;;
98;d91399b6-aa10-4290-a80b-d0de0daaf9f7;grammitidaceae newman;;;;
99;7c3c51ae-3b16-46db-85e0-97b35582ccd5;pteridophyta schimp.;;;;
102;62149cec-a8b5-4c55-b2d9-56c677e1a14b;vanda jones ex r. br.;;;;
104;ebda3add-6988-495e-9868-092af7d3fd5d;glochidion j.r. forst. & g. forst.;;;;
105;a2c4e9a6-f662-4f98-b279-a337739294a4;calophyllum articulatum p.f. stevens;;;;
106;1437b03d-3f37-491e-83e8-2397ca5d8d0b;hymenophyllaceae mart.;;;;
107;913f329e-038e-4885-a177-42e23b66add9;barringtonia j.r. forst. & g. forst.;;;;
108;f8b1b124-b7f2-4ecb-b08d-d3a33cf785ca;syzygium p. browne ex gaertn.;;;;
109;46e219f6-0f22-4697-a0d7-e1ce112f3107;cephalomanes c. presl;;;;
110;39f9e159-6264-44a3-9964-9b254027a900;cordia dichotoma g. forst.;;;;
111;52bde1cd-7be5-4467-98c5-3197a70f5e08;ardisia sanguinolenta var. parallelonura (k. larsen & c.m. hu) k. larsen & c.m. hu;;;;
112;e41cc843-6286-4999-a67d-30768540406c;orchidaceae juss.;;;;
113;3a1e301f-942e-42ab-b718-a4b4f432899e;syzygium p. browne ex gaertn.;;;;
118;675edb5f-d2f9-4389-98a2-dff6231a9bbc;pteridophyta schimp.;;;;
119;72a7b76c-6dd8-49cc-a806-0b7f7a401ab8;glochidion j.r. forst. & g. forst.;;;;
120;4b883038-cbb5-4459-8e0e-e8b00d51c30d;glochidion j.r. forst. & g. forst.;;;;
121;3ad7a784-3f6c-4341-bed7-6c8b6465d620;annonaceae juss.;;;;
122;72898aa6-b488-4360-84d8-09e59082457b;acanthaceae juss.;;;;
125;7731a032-1c0d-4e96-8c3e-f09d16f51365;syzygium p. browne ex gaertn.;;;;
130;9719cb73-b18b-4d11-8248-4b63c60a7e90;ardisia javanica a. dc.;;;;
131;d439731b-37e9-4004-91fa-2278d7fd3a52;syzygium p. browne ex gaertn.;;;;
133;a3e3dad4-e4e3-46ae-bfdc-ed8b095d02cd;hypnodendraceae broth.;;;;
134;8387b006-e6c6-45e7-8f9c-c23646faa441;madhuca ham. ex j.f. gmel.;;;;
135;5e4d5fed-fc48-4922-9afd-c8d85e277d7b;glochidion j.r. forst. & g. forst.;;;;
137;4fcb28c6-6cea-45de-8506-a765f11ab9dc;alyxia banks ex r. br.;;;;
142;ac251c87-a921-4f10-9845-a7b721aa53da;syzygium p. browne ex gaertn.;;;;
146;68e22a08-9198-4067-aee8-505d431a8d13;colysis macrophylla (blume) c. presl;;;;
147;dbec444a-6fba-49b0-b589-33a58e05d357;deparia boryana (willd.) m. kato;;;;
148;0ab594ba-5182-4b21-8733-e9bdc00df623;euphorbiaceae juss.;;;;
150;1df40396-f192-45aa-a529-d0778bd5f1d9;syzygium p. browne ex gaertn.;;;;
151;d70bf929-b639-4fea-b6b0-25830b3e8150;syzygium p. browne ex gaertn.;;;;
155;d877114b-1246-468d-8c08-afea7de5576a;glochidion j.r. forst. & g. forst.;;;;
157;f60a8865-b306-492e-9c7e-7ae7186ff815;rubiaceae juss.;;;;
161;c2869222-ab0a-4c2f-8477-6c8da82f2ad8;syzygium p. browne ex gaertn.;;;;
164;05e46794-ae40-42f3-8a93-92a72c74e441;madhuca ham. ex j.f. gmel.;;;;
166;45374292-8c5f-484c-9ac9-fb791fb29978;ficus pellucido-punctata;;;;
167;4b8b40d0-72ca-4070-993c-04e361faa2d8;papuacalia milleri d.j.n. hind & r.j. johns;;;;
171;7f8abdf9-51d4-4e06-90d4-f3acf8c9def8;belvisia spicata (l. f.) mirb.;;;;
172;73614120-604d-421d-9153-95f285706a6c;orchidaceae juss.;;;;
173;607660fe-6c19-4c4f-84b9-6f805d34d6da;orchidaceae juss.;;;;
176;f03d518c-df53-42b5-86ad-5707fb572044;glochidion j.r. forst. & g. forst.;;;;
178;46b800d2-2611-42f7-b9e5-74e94015ecf7;undetermined;;;;
179;7917a951-9acd-4294-b68b-764196a916ed;sabiaceae blume;;;;
182;eb0937e8-3781-45fb-9932-d2b87bc37971;anacardiaceae r. br.;;;;
183;102b0786-0a5d-4455-8293-ef49ece73a70;orchidaceae juss.;;;;
184;79bfa40f-3359-4857-a6b6-6526c2157301;orchidaceae juss.;;;;
188;cf0809e7-1681-4422-b3aa-3a546eb5eef4;syzygium p. browne ex gaertn.;;;;
192;a0465e88-af59-49bf-9ae0-6e35e06e0717;glochidion j.r. forst. & g. forst.;;;;
195;9824261f-1ce1-4450-8c48-5fab108c52ad;embelia coriacea wall. ex a. dc.;;;;
196;1fcb9231-f923-4715-a210-7597c10f5de1;undetermined;;;;
197;5a09a31e-414f-433a-82b8-120bc0a343b9;undetermined;;;;
203;79a1afd2-efee-408a-888a-f8a1af029a57;barringtonia j.r. forst. & g. forst.;;;;
204;a5b1f76b-3869-475e-9a76-c30d127f624c;syzygium p. browne ex gaertn.;;;;
205;536980da-5603-4b91-bfba-8e1068ac8316;syzygium p. browne ex gaertn.;;;;
207;b7d7004d-5150-4dfc-895c-da1722b939a3;alstonia r. br.;;;;
211;ccfc56f8-b629-4a3b-bd88-4dbb944a7479;cornopteris seramensis m. kato;;;;
212;5ded8f7f-3307-48b6-9117-67f19465f8f8;colysis macrophylla (blume) c. presl;;;;
216;8cc90974-7807-4473-b0e1-ad8983051d59;diplora schizocarpa c. chr.;;;;
218;df8e74b0-c0fc-4156-b757-fc1d567f8fab;gardenia schoemanii teijsm. & binn.;;;;
219;4b2c56ec-24ec-4c16-8e80-15d17e03caa9;undetermined;;;;
226;06939df7-b6a0-44b5-8b84-6e0297e830fb;ctenopteris moultonii (copel.) c. chr. & tardieu;;;;
227;5273219a-81d0-4684-a886-cf6674277082;alsophila glauca (blume) j. sm.;;;;
228;57d8875a-2418-49cb-8875-bd61ef0c59e0;undetermined;;;;
230;ac8ce371-5fe6-45a6-a008-5b65a2ddcee9;undetermined;;;;
233;1ad99e14-069d-4c15-b62d-78cb0ccc2062;undetermined;;;;
235;e358a634-4b49-4809-bcee-86f532e86172;undetermined;;;;
242;45110de8-96e8-42ba-8108-b4310a43a7b6;calanthe r. br.;;;;
244;6497b201-c657-49f1-9fe5-39928a141a56;embelia burm. f.;;;;
247;7da9013d-d06f-450e-ba0f-e82ef933e7c8;undetermined;;;;
250;4b44ccc2-550a-495c-9abb-0c7408a4aec3;undetermined;;;;
256;07f81ae5-2d0f-4853-a8fa-8bb8773d61e7;digitaria ternata (a. rich.) stapf;;;;
260;2314cbd5-08e6-4303-8c20-1660915b2652;hymenachne auritum;;;;
262;48722d7e-c0ec-46d8-a778-2fd0390852b3;melastomataceae juss.;;;;
265;bfa612e2-66db-4617-bc15-a496383f1104;undetermined;;;;
267;b27201cb-3dbc-438c-bab5-b1db1c9ffa4c;dicranaceae schimp.;;;;
272;bcc8a91e-6105-4436-a61a-bcb57fdd9560;undetermined;;;;
273;30d3c6ec-23b7-4a07-b4eb-8b994f87420e;undetermined;;;;
276;36897801-955f-40e4-84f3-468b0b9f621d;ficus septica burm. f.;;;;
281;2a255e90-2f08-4895-a3ca-1dfc85fbe3c1;syzygium p. browne ex gaertn.;;;;
284;9e1ab49b-9512-401d-b1b2-47858c11efd0;undetermined;;;;
285;36273f4e-b770-4e32-8cf5-cb4a76afb2b5;undetermined;;;;
287;c2bfe862-8b1c-4976-887a-e42140dcacb6;annonaceae juss.;;;;
288;e5176799-69b5-4665-90a8-3a3ca44dab9f;syzygium p. browne ex gaertn.;;;;
289;d13ba1f4-4bb7-4292-8dda-2929908d93ce;rubiaceae juss.;;;;
291;7c6509c5-b609-43e7-91b4-3cfe3deb5577;harpulia g. don;;;;
292;294bdd22-87b6-4fe5-8a89-2834987ee550;embelia burm. f.;;;;
298;5147f8a7-9ad9-47fa-8263-f32076bc82ae;procris comm. ex juss.;;;;
300;87d73838-d659-4129-9b29-e83883c0ceb9;alsophila glauca (blume) j. sm.;;;;
301;629bc81d-2334-4355-9cbd-fb549fe6bad8;phaleria coccinea (gaudich.) f. muell.;;;;
304;f43a2d2f-7364-40ad-ae5b-ca3c48f2b1eb;syzygium p. browne ex gaertn.;;;;
305;69a134c5-e18f-4b7f-94a6-6e11b282ef34;barringtonia j.r. forst. & g. forst.;;;;
306;10d1a4a1-6b3c-4b9a-81aa-13bc139ecf52;phyllanthaceae martinov;;;;
308;c2f688a7-e757-495e-a18b-3995129cf757;maesa perlaria (lour.) merr.;;;;
312;65253e24-3838-45d7-b6f7-8371ba56aecc;ardisia leptalea b.c. stone;;;;
318;ba9a914a-8e86-49dc-a5ce-38a123789af6;euphorbiaceae juss.;;;;
319;2cf6c0b4-e571-47e8-8efd-92c73f29f567;icacinaceae miers;;;;
320;b060a55a-f203-468d-a23e-cb17119c5984;orchidaceae juss.;;;;
324;dbbc3daf-a968-4d24-b2b8-3dce3f8d1dbb;syzygium p. browne ex gaertn.;;;;
326;3b4dcec4-c702-4d78-bea9-419e7d6de0d9;gardenia j. ellis;;;;
333;7eebee59-7d0d-42c1-b9ee-0f5303b8108c;tasmannia r. br. ex dc.;;;;
334;05816288-e5f4-4ca1-9f99-f6226b6eb689;annonaceae juss.;;;;
336;712a6a6a-8b06-41c5-acc3-9a3ec749cec1;embelia burm. f.;;;;
338;c11a443e-1098-4e30-8583-1bc0c2065708;vittariaceae ching;;;;
340;be928f88-1044-4b18-9604-84d2c3c84ee5;syzygium p. browne ex gaertn.;;;;
342;13e4f224-29de-4e38-babe-f49393bbdfd4;orchidaceae juss.;;;;
347;f883aa87-3414-4a18-87ec-b82b62f02799;palmeria f. muell.;;;;
348;f8b1f75f-5705-46ea-a05c-ecdebe26181d;syzygium p. browne ex gaertn.;;;;
349;e41c1e78-2c42-4d26-8a8e-a2e68ade155e;syzygium p. browne ex gaertn.;;;;
351;b44599e7-a7a1-4d10-b52a-61bbffc4d239;syzygium p. browne ex gaertn.;;;;
352;1756ce2e-b4e7-4171-8386-6b90cad5e384;syzygium p. browne ex gaertn.;;;;
353;de3f411f-22ba-4736-b8f3-2234aa3be2a7;syzygium p. browne ex gaertn.;;;;
354;b56ff828-32d0-421f-8659-a78a81723206;syzygium p. browne ex gaertn.;;;;
358;40f4489f-aec0-4f5b-b64e-bc43719bffc4;lauraceae juss.;;;;
360;e592498e-7713-4550-b8f8-cd70dc6ffba6;cyrtandra sp. nov. ined. ex phillipson;;;;
363;d3ae0655-bcaf-4934-ae7c-d82511e4737a;orchidaceae juss.;;;;
364;b29958d2-0287-471d-a27f-d8ff01dcbfe6;orchidaceae juss.;;;;
370;2683e72c-9917-4d08-8a46-3ec82a314723;claoxylon a. juss.;;;;
373;70caaa9d-7fd4-4f25-806f-2a163a096faf;asclepiadaceae borkh.;;;;
374;6a663b1b-7e6b-4533-9eab-61295e8bf61b;orchidaceae juss.;;;;
377;10ea80f5-eded-4584-a497-d2471c4ea4f7;helicia moluccana (r. br.) blume;;;;
378;55a48623-d0fd-4375-ab56-9d2b18722ea4;syzygium p. browne ex gaertn.;;;;
379;c7f4f1c8-fc66-4cf5-a1ee-69bcbf2cd299;syzygium p. browne ex gaertn.;;;;
385;0ba8c49d-b4f1-4f72-b2d8-1fd894575217;gardenia j. ellis;;;;
388;243c8f7a-c870-45f4-8519-95d1f36e1ec6;davallia simplicifolia c. chr.;;;;
390;1137f0c3-0014-4c23-9753-b1ac0b0534d7;myrsine rawacensis a. dc.;;;;
392;55477dd4-b9f4-495b-a6a3-ab4566c65194;colysis membranacea (blume) c. presl;;;;
393;b38ac80d-a8dc-469a-80a5-79707c07c4da;deparia boryana (willd.) m. kato;;;;
395;d4b65e78-8631-43e6-a704-295faa651415;ctenopteris contigua (g. forst.) holttum;;;;
399;b7541fe4-7f6e-4d4d-8ba1-0eb8ae721161;cephalomanes c. presl;;;;
400;4da68df4-6519-4772-950e-63e7f62a0cd3;ficus septica burm. f.;;;;
401;4e22e5e2-5cbd-4774-804f-23a6a71ba88c;colysis macrophylla (blume) c. presl;;;;
402;b448c698-a4f3-4a0f-8b08-0ed5cd02afba;helicia moluccana (r. br.) blume;;;;
404;df0be3cc-4f01-4b25-8fd1-744d6b00803e;ficus pellucido-punctata;;;;
414;a69c22d1-640f-42f6-bd8d-9afc5cd3a95f;sapindaceae juss.;;;;
415;1661cc4e-b017-485f-9732-fccadea1b224;apocynaceae juss.;;;;
416;bd5de207-57b8-4255-92e9-7667b37620c3;orchidaceae juss.;;;;
417;e8a8168e-2f2b-4e22-8c01-8ca2e2713ff2;gnetaceae blume;;;;
418;4026d24e-803a-449f-9979-5cabdd1c297a;gordonia j. ellis;;;;
424;4ccd803b-bd70-46e3-bf4e-e2fe59a48167;syzygium p. browne ex gaertn.;;;;
425;359084a5-2b91-4c14-a997-eb529116cb27;syzygium p. browne ex gaertn.;;;;
426;706c95ea-d9a2-42bd-b60b-c4346dff205d;syzygium p. browne ex gaertn.;;;;
427;d31cfaf4-73fa-44f8-bed2-13d0b92886b4;harpulia g. don;;;;
430;46bfc94c-4b15-4e32-9711-068cc083ae6d;orchidaceae juss.;;;;
431;6703f6fb-93dd-4fb9-b69a-5649a47378e7;pometia pinnata j.r. forst. & g. forst.;;;;
434;458322bd-a04e-44a2-876a-594f3590cc25;eulophia r. br.;;;;
438;3d28b9af-4beb-4328-b005-c13f3600808d;syzygium p. browne ex gaertn.;;;;
441;01034170-5478-4c19-84ff-048de8b268c7;rubiaceae juss.;;;;
443;d5f96dc7-ec9e-45d2-9df5-b1a020a8a717;rutaceae juss.;;;;
444;7c22075a-0ec3-46f4-94ac-8ce86bf6fae5;loranthaceae juss.;;;;
445;cfbe82b9-5b6a-49d4-851c-3e3e817921fc;ficus septica burm. f.;;;;
446;7648e3e2-d38c-46ea-b398-01cbcb0d1f4b;orchidaceae juss.;;;;
447;e6da52b1-02e9-43f9-998f-a98d91087641;syzygium p. browne ex gaertn.;;;;
448;efcb2948-8a56-43e6-ad1c-a62f864fc019;pometia pinnata j.r. forst. & g. forst.;;;;
450;aa01e7a4-e728-49b5-8819-fa226e5bfd55;araliaceae juss.;;;;
451;da5b41b5-dedf-4a26-bf18-84991ea2f2c9;phaeanthus hook. f. & thomson;;;;
452;a21d25b9-104a-40a1-9d8d-172f80d35ad9;primulaceae batsch;;;;
453;e4f2e1f2-dec0-490b-b382-e90d18d57013;pteridophyta schimp.;;;;
457;ffbf69a6-12cc-40d3-93e8-9939c74e05e8;syzygium p. browne ex gaertn.;;;;
458;27990a65-e053-4f83-ae98-72edb9cf73d7;syzygium p. browne ex gaertn.;;;;
460;3ddc17af-afb4-4f58-9608-c1f11f0ac118;colysis membranacea (blume) c. presl;;;;
461;47bbc8c6-87dc-413b-a273-18a651ce64fe;vanda jones ex r. br.;;;;
462;9631e50f-db44-4ca9-9291-d0769861a545;sematophyllaceae broth.;;;;
463;5edc9eed-db82-45cf-862b-e0620ba57430;goniophlebium (blume) c. presl;;;;
464;8042c02b-110f-49e4-af88-0f92609502be;orchidaceae juss.;;;;
465;c93e7590-61b7-44a8-97d3-1a6b4b91f94a;grammitidaceae newman;;;;
466;d33d4a09-daf7-46b0-ae1a-7156fee767ab;prainea king ex hook. f.;;;;
469;e007df59-55b8-470a-a854-1d36ad10df30;syzygium p. browne ex gaertn.;;;;
470;75929f52-4c0b-4a06-a280-e4fcc7ba26dd;syzygium p. browne ex gaertn.;;;;
